Date,Centre_Name,Commodity_Name,Price
09-01-19,SHIMLA,Wheat,
09-01-19,SRINAGAR,Wheat,
09-01-19,JAMMU,Wheat,
09-01-19,AMRITSAR,Wheat,
09-01-19,LUDHIANA,Wheat,
09-01-19,LUCKNOW,Wheat,
09-01-19,DEHRADUN,Wheat,
09-01-19,RAIPUR,Wheat,
09-01-19,AHMEDABAD,Wheat,
09-01-19,BHOPAL,Wheat,
09-01-19,MUMBAI,Wheat,
09-01-19,JAIPUR,Wheat,
09-01-19,PATNA,Wheat,
09-01-19,RANCHI,Wheat,
09-01-19,BHUBANESHWAR,Wheat,1220.0
09-01-19,KOLKATA,Wheat,
09-01-19,GUWAHATI,Wheat,
09-01-19,SHILLONG,Wheat,
09-01-19,AIZWAL,Wheat,
09-01-19,KOHIMA,Wheat,
09-01-19,AGARTALA,Wheat,
09-01-19,BENGALURU,Wheat,1700.0
09-01-19,T.PURAM,Wheat,
09-01-19,CHENNAI,Wheat,1540.0
09-01-19,HYDERABAD,Wheat,
12-01-19,CHANDIGARH,Wheat,
12-01-19,DELHI,Wheat,1140.0
12-01-19,SHIMLA,Wheat,
12-01-19,SRINAGAR,Wheat,
12-01-19,JAMMU,Wheat,
12-01-19,AMRITSAR,Wheat,
12-01-19,LUDHIANA,Wheat,
12-01-19,LUCKNOW,Wheat,
12-01-19,DEHRADUN,Wheat,
12-01-19,RAIPUR,Wheat,
12-01-19,AHMEDABAD,Wheat,
12-01-19,BHOPAL,Wheat,
12-01-19,MUMBAI,Wheat,
12-01-19,JAIPUR,Wheat,
12-01-19,PATNA,Wheat,
12-01-19,RANCHI,Wheat,
12-01-19,BHUBANESHWAR,Wheat,1220.0
12-01-19,KOLKATA,Wheat,
12-01-19,GUWAHATI,Wheat,
12-01-19,SHILLONG,Wheat,
12-01-19,AIZWAL,Wheat,
12-01-19,KOHIMA,Wheat,
12-01-19,AGARTALA,Wheat,
12-01-19,BENGALURU,Wheat,1700.0
12-01-19,T.PURAM,Wheat,
12-01-19,CHENNAI,Wheat,1540.0
12-01-19,HYDERABAD,Wheat,
13-01-19,CHANDIGARH,Wheat,
13-01-19,DELHI,Wheat,1160.0
13-01-19,SHIMLA,Wheat,
13-01-19,SRINAGAR,Wheat,
13-01-19,JAMMU,Wheat,
13-01-19,AMRITSAR,Wheat,
13-01-19,LUDHIANA,Wheat,
13-01-19,LUCKNOW,Wheat,
13-01-19,DEHRADUN,Wheat,
13-01-19,RAIPUR,Wheat,
13-01-19,AHMEDABAD,Wheat,
13-01-19,BHOPAL,Wheat,
13-01-19,MUMBAI,Wheat,
13-01-19,JAIPUR,Wheat,
13-01-19,PATNA,Wheat,
13-01-19,RANCHI,Wheat,
13-01-19,BHUBANESHWAR,Wheat,
13-01-19,KOLKATA,Wheat,
13-01-19,GUWAHATI,Wheat,
13-01-19,SHILLONG,Wheat,
13-01-19,AIZWAL,Wheat,
13-01-19,KOHIMA,Wheat,
13-01-19,AGARTALA,Wheat,
13-01-19,BENGALURU,Wheat,
13-01-19,T.PURAM,Wheat,
13-01-19,CHENNAI,Wheat,
13-01-19,HYDERABAD,Wheat,
14-01-19,CHANDIGARH,Wheat,
14-01-19,DELHI,Wheat,1160.0
14-01-19,SHIMLA,Wheat,
14-01-19,SRINAGAR,Wheat,
14-01-19,JAMMU,Wheat,
14-01-19,AMRITSAR,Wheat,
14-01-19,LUDHIANA,Wheat,
14-01-19,LUCKNOW,Wheat,
14-01-19,DEHRADUN,Wheat,
14-01-19,RAIPUR,Wheat,
14-01-19,AHMEDABAD,Wheat,
14-01-19,BHOPAL,Wheat,
14-01-19,MUMBAI,Wheat,
14-01-19,JAIPUR,Wheat,
14-01-19,PATNA,Wheat,
14-01-19,RANCHI,Wheat,
14-01-19,BHUBANESHWAR,Wheat,1220.0
14-01-19,KOLKATA,Wheat,
14-01-19,GUWAHATI,Wheat,
14-01-19,SHILLONG,Wheat,
14-01-19,AIZWAL,Wheat,
14-01-19,KOHIMA,Wheat,
14-01-19,AGARTALA,Wheat,
14-01-19,BENGALURU,Wheat,
14-01-19,T.PURAM,Wheat,
14-01-19,CHENNAI,Wheat,
14-01-19,HYDERABAD,Wheat,
15-01-19,CHANDIGARH,Wheat,
15-01-19,DELHI,Wheat,1160.0
15-01-19,SHIMLA,Wheat,
15-01-19,SRINAGAR,Wheat,
15-01-19,JAMMU,Wheat,
15-01-19,AMRITSAR,Wheat,
15-01-19,LUDHIANA,Wheat,
15-01-19,LUCKNOW,Wheat,
15-01-19,DEHRADUN,Wheat,
15-01-19,RAIPUR,Wheat,
15-01-19,AHMEDABAD,Wheat,
15-01-19,BHOPAL,Wheat,
15-01-19,MUMBAI,Wheat,
15-01-19,JAIPUR,Wheat,1200.0
15-01-19,PATNA,Wheat,
15-01-19,RANCHI,Wheat,
15-01-19,BHUBANESHWAR,Wheat,
15-01-19,KOLKATA,Wheat,
15-01-19,GUWAHATI,Wheat,
15-01-19,SHILLONG,Wheat,
15-01-19,AIZWAL,Wheat,
15-01-19,KOHIMA,Wheat,
15-01-19,AGARTALA,Wheat,
15-01-19,BENGALURU,Wheat,1700.0
15-01-19,T.PURAM,Wheat,
15-01-19,CHENNAI,Wheat,
15-01-19,HYDERABAD,Wheat,
16-01-19,CHANDIGARH,Wheat,
16-01-19,DELHI,Wheat,1180.0
16-01-19,SHIMLA,Wheat,
16-01-19,SRINAGAR,Wheat,
16-01-19,JAMMU,Wheat,
16-01-19,AMRITSAR,Wheat,
16-01-19,LUDHIANA,Wheat,
16-01-19,LUCKNOW,Wheat,
16-01-19,DEHRADUN,Wheat,
16-01-19,RAIPUR,Wheat,
16-01-19,AHMEDABAD,Wheat,
16-01-19,BHOPAL,Wheat,
16-01-19,MUMBAI,Wheat,
16-01-19,JAIPUR,Wheat,1200.0
16-01-19,PATNA,Wheat,
16-01-19,RANCHI,Wheat,
16-01-19,BHUBANESHWAR,Wheat,1220.0
16-01-19,KOLKATA,Wheat,
16-01-19,GUWAHATI,Wheat,
16-01-19,SHILLONG,Wheat,
16-01-19,AIZWAL,Wheat,
16-01-19,KOHIMA,Wheat,
16-01-19,AGARTALA,Wheat,
16-01-19,BENGALURU,Wheat,
16-01-19,T.PURAM,Wheat,
16-01-19,CHENNAI,Wheat,
16-01-19,HYDERABAD,Wheat,
19-01-19,CHANDIGARH,Wheat,
19-01-19,DELHI,Wheat,1180.0
19-01-19,SHIMLA,Wheat,
19-01-19,SRINAGAR,Wheat,
19-01-19,JAMMU,Wheat,
19-01-19,AMRITSAR,Wheat,
19-01-19,LUDHIANA,Wheat,
19-01-19,LUCKNOW,Wheat,
19-01-19,DEHRADUN,Wheat,
19-01-19,RAIPUR,Wheat,
19-01-19,AHMEDABAD,Wheat,
19-01-19,BHOPAL,Wheat,
19-01-19,MUMBAI,Wheat,
19-01-19,JAIPUR,Wheat,1200.0
19-01-19,PATNA,Wheat,
19-01-19,RANCHI,Wheat,
19-01-19,BHUBANESHWAR,Wheat,1220.0
19-01-19,KOLKATA,Wheat,
19-01-19,GUWAHATI,Wheat,
19-01-19,SHILLONG,Wheat,
19-01-19,AIZWAL,Wheat,
19-01-19,KOHIMA,Wheat,
19-01-19,AGARTALA,Wheat,
19-01-19,BENGALURU,Wheat,1700.0
19-01-19,T.PURAM,Wheat,
19-01-19,CHENNAI,Wheat,1540.0
19-01-19,HYDERABAD,Wheat,
20-01-19,CHANDIGARH,Wheat,
20-01-19,DELHI,Wheat,1180.0
20-01-19,SHIMLA,Wheat,
20-01-19,SRINAGAR,Wheat,
20-01-19,JAMMU,Wheat,
20-01-19,AMRITSAR,Wheat,
20-01-19,LUDHIANA,Wheat,
20-01-19,LUCKNOW,Wheat,
20-01-19,DEHRADUN,Wheat,
20-01-19,RAIPUR,Wheat,
20-01-19,AHMEDABAD,Wheat,
20-01-19,BHOPAL,Wheat,
20-01-19,MUMBAI,Wheat,
20-01-19,JAIPUR,Wheat,
20-01-19,PATNA,Wheat,
20-01-19,RANCHI,Wheat,
20-01-19,BHUBANESHWAR,Wheat,1220.0
20-01-19,KOLKATA,Wheat,
20-01-19,GUWAHATI,Wheat,
20-01-19,SHILLONG,Wheat,
20-01-19,AIZWAL,Wheat,
20-01-19,KOHIMA,Wheat,
20-01-19,AGARTALA,Wheat,
20-01-19,BENGALURU,Wheat,
20-01-19,T.PURAM,Wheat,
20-01-19,CHENNAI,Wheat,1540.0
20-01-19,HYDERABAD,Wheat,
21-01-19,CHANDIGARH,Wheat,
21-01-19,DELHI,Wheat,1180.0
21-01-19,SHIMLA,Wheat,
21-01-19,SRINAGAR,Wheat,
21-01-19,JAMMU,Wheat,
21-01-19,AMRITSAR,Wheat,
21-01-19,LUDHIANA,Wheat,
21-01-19,LUCKNOW,Wheat,
21-01-19,DEHRADUN,Wheat,
21-01-19,RAIPUR,Wheat,
21-01-19,AHMEDABAD,Wheat,
